epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,123.851,1.955,2.54352,1.45841,1.57519,0,0.57963,0.70154,0.69517,0.29758,0.60082,0.7193,0.70969,0.2649,1.95523,2.73876,1.35205,1.81328,0,0.0014456,0.0014456,0.0014456
30,128.368,1.88683,2.50897,1.48314,1.5354,0,0.4692,0.64912,0.59044,0.23624,0.55839,0.63158,0.6491,0.22118,2.08385,2.82196,1.43764,1.85532,0,0.0014258,0.0014258,0.0014258
31,132.423,1.86753,2.5634,1.45566,1.51711,0,0.5114,0.56931,0.57111,0.24149,0.53914,0.57895,0.56714,0.22043,2.03151,2.74142,1.50674,1.82885,0,0.001406,0.001406,0.001406
32,136.563,1.90119,2.56159,1.39307,1.56196,0,0.62073,0.54557,0.62196,0.22543,0.67699,0.54386,0.67594,0.23372,2.05873,2.60337,1.43695,1.874,0,0.0013862,0.0013862,0.0013862
33,140.629,1.81011,2.31897,1.26326,1.43865,0,0.56161,0.52632,0.65045,0.24349,0.65204,0.57895,0.70187,0.24323,2.18386,2.82078,1.41113,1.95739,0,0.0013664,0.0013664,0.0013664
34,144.712,1.85645,2.40064,1.27691,1.47968,0,0.45874,0.77193,0.61878,0.23342,0.72708,0.57895,0.65168,0.2307,2.10462,2.8098,1.36138,1.89106,0,0.0013466,0.0013466,0.0013466
35,148.829,1.80413,2.40575,1.27395,1.48196,0,0.68686,0.61575,0.67727,0.24616,0.71186,0.60687,0.69641,0.20847,2.12409,2.79187,1.4217,1.91874,0,0.0013268,0.0013268,0.0013268
36,153.008,1.90753,2.523,1.37036,1.46834,0,0.5966,0.61404,0.65447,0.25664,0.61981,0.63158,0.69939,0.24626,2.02342,2.65225,1.35986,1.86764,0,0.001307,0.001307,0.001307
37,157.068,1.77406,2.35239,1.34239,1.4801,0,0.58379,0.59649,0.56846,0.2233,0.63656,0.63158,0.61592,0.19417,2.20884,2.72111,1.42461,2.03836,0,0.0012872,0.0012872,0.0012872
38,161.202,1.79594,2.39552,1.2843,1.43079,0,0.64523,0.57895,0.61452,0.2465,0.66478,0.59649,0.6722,0.24242,2.02643,2.77222,1.38918,1.84433,0,0.0012674,0.0012674,0.0012674
39,165.299,1.84109,2.50151,1.37393,1.53896,0,0.5706,0.64912,0.60808,0.21315,0.60113,0.70175,0.63257,0.22294,2.09244,2.68098,1.37431,1.9053,0,0.0012476,0.0012476,0.0012476
40,169.497,1.78592,2.36108,1.25664,1.45535,0,0.66476,0.55668,0.62386,0.2515,0.54917,0.66253,0.63658,0.23349,2.06325,2.82016,1.33567,1.87083,0,0.0012278,0.0012278,0.0012278
41,173.671,1.81585,2.37933,1.34043,1.52733,0,0.683,0.60489,0.67727,0.264,0.73437,0.63158,0.73815,0.26355,2.04239,2.7025,1.35965,1.86521,0,0.001208,0.001208,0.001208
42,177.859,1.72048,2.41881,1.24998,1.38881,0,0.61858,0.62601,0.6557,0.28615,0.62039,0.61404,0.65696,0.23715,1.98419,2.8103,1.41442,1.79977,0,0.0011882,0.0011882,0.0011882
43,182.015,1.71461,2.38416,1.33956,1.3854,0,0.59696,0.7193,0.71734,0.2799,0.63873,0.6824,0.74319,0.24439,2.06105,2.82499,1.28817,1.88402,0,0.0011684,0.0011684,0.0011684
44,186.224,1.79004,2.37807,1.30998,1.47524,0,0.53939,0.73684,0.65878,0.24785,0.53857,0.73684,0.64832,0.22998,2.09298,2.78456,1.42061,1.89261,0,0.0011486,0.0011486,0.0011486
45,190.362,1.75222,2.37303,1.34003,1.40527,0,0.65856,0.64912,0.69418,0.26016,0.76448,0.63158,0.72466,0.25265,2.08162,2.92342,1.38468,1.96153,0,0.0011288,0.0011288,0.0011288
46,194.652,1.81449,2.37759,1.22046,1.39602,0,0.58211,0.59649,0.67839,0.2841,0.56782,0.57895,0.63989,0.25145,2.03458,2.77606,1.34495,1.84292,0,0.001109,0.001109,0.001109
47,198.767,1.79722,2.39458,1.32104,1.51426,0,0.56042,0.66667,0.62787,0.24393,0.524,0.63158,0.58276,0.22918,1.98627,2.69255,1.33577,1.8132,0,0.0010892,0.0010892,0.0010892
48,202.944,1.8635,2.38857,1.28572,1.47933,0,0.61565,0.70254,0.66088,0.25637,0.704,0.68421,0.70782,0.24182,2.09338,2.93705,1.33106,1.92867,0,0.0010694,0.0010694,0.0010694
49,207.048,1.78023,2.40779,1.24746,1.48539,0,0.7085,0.66667,0.71546,0.30066,0.76835,0.7193,0.75497,0.27552,2.01055,2.69015,1.31016,1.84577,0,0.0010496,0.0010496,0.0010496
50,211.805,1.69392,2.35275,1.18921,1.39406,0,0.68757,0.75439,0.73358,0.28139,0.68938,0.75439,0.75735,0.24965,2.03069,2.92265,1.27857,1.87877,0,0.0010298,0.0010298,0.0010298
51,215.943,1.7422,2.32707,1.24593,1.41241,0,0.74881,0.66667,0.71538,0.31137,0.71863,0.64912,0.72321,0.27501,2.01682,2.63805,1.25833,1.85019,0,0.00101,0.00101,0.00101
52,220.777,1.73123,2.38569,1.28742,1.40459,0,0.56333,0.63158,0.63248,0.23803,0.61242,0.68421,0.68644,0.25037,2.13339,2.65989,1.26477,1.94533,0,0.0009902,0.0009902,0.0009902
53,224.961,1.78701,2.36436,1.21835,1.48917,0,0.62367,0.68421,0.71437,0.30245,0.62503,0.67265,0.74572,0.27709,1.96625,2.67615,1.20648,1.80597,0,0.0009704,0.0009704,0.0009704
54,229.152,1.6571,2.25003,1.1529,1.374,0,0.59637,0.7193,0.70876,0.27833,0.62283,0.63158,0.67595,0.23262,2.01399,2.99068,1.30122,1.81567,0,0.0009506,0.0009506,0.0009506
55,233.249,1.71935,2.24876,1.25743,1.44478,0,0.63345,0.70175,0.7096,0.24979,0.65882,0.7193,0.74237,0.25837,1.93039,2.61112,1.23399,1.82674,0,0.0009308,0.0009308,0.0009308
56,237.37,1.65885,2.31737,1.18957,1.39639,0,0.67835,0.74002,0.74206,0.2848,0.71648,0.68421,0.776,0.27983,2.00928,2.63658,1.22881,1.8394,0,0.000911,0.000911,0.000911
57,241.63,1.75656,2.35946,1.21004,1.44683,0,0.63802,0.68421,0.67243,0.2786,0.72141,0.68421,0.72855,0.25516,1.99833,2.78576,1.26541,1.84599,0,0.0008912,0.0008912,0.0008912
58,245.781,1.66602,2.18795,1.12212,1.37629,0,0.64458,0.66819,0.73527,0.29419,0.61835,0.70175,0.6779,0.23923,2.00354,2.81224,1.20047,1.87024,0,0.0008714,0.0008714,0.0008714
59,249.972,1.62009,2.24934,1.06713,1.36717,0,0.64914,0.64917,0.71197,0.28388,0.66668,0.66671,0.73398,0.26673,2.13752,2.75009,1.21722,2.01718,0,0.0008516,0.0008516,0.0008516
60,254.217,1.6879,2.22005,1.16518,1.38847,0,0.62698,0.7193,0.69945,0.28708,0.69921,0.66667,0.72989,0.27336,2.07881,2.79988,1.19889,1.98437,0,0.0008318,0.0008318,0.0008318
61,258.256,1.64701,2.16781,1.17162,1.33156,0,0.83565,0.7137,0.77303,0.32078,0.84287,0.70175,0.78106,0.27632,2.03116,2.77679,1.21694,1.93457,0,0.000812,0.000812,0.000812
