frame_idx,file_name,frame,area_px,centroid_y,centroid_x,mean_intensity,max_intensity
58,ch20_URA7_URA8_001-crop2.tif,8,159,63.8553,83.4403,0.0026,0.0033
59,ch20_URA7_URA8_001-crop2.tif,9,194,64.6856,82.5052,0.0026,0.0036
60,ch20_URA7_URA8_001-crop2.tif,10,145,64.1862,86.0897,0.0026,0.0033
61,ch20_URA7_URA8_001-crop2.tif,11,173,63.3064,83.0867,0.0026,0.0035
62,ch20_URA7_URA8_001-crop2.tif,12,172,64.5407,84.2849,0.0026,0.0037
63,ch20_URA7_URA8_001-crop2.tif,13,179,62.3687,84.3017,0.0026,0.0035
64,ch20_URA7_URA8_001-crop2.tif,14,176,58.7273,81.0398,0.0026,0.0041
65,ch20_URA7_URA8_001-crop2.tif,15,205,58.8488,82.7756,0.0026,0.0040
66,ch20_URA7_URA8_001-crop2.tif,16,182,63.6044,83.3901,0.0026,0.0036
67,ch20_URA7_URA8_001-crop2.tif,17,175,69.1371,85.2057,0.0026,0.0034
68,ch20_URA7_URA8_001-crop2.tif,18,209,72.6986,82.2727,0.0025,0.0034
69,ch20_URA7_URA8_001-crop2.tif,19,165,67.8606,82.3030,0.0025,0.0033
70,ch20_URA7_URA8_001-crop2.tif,20,115,64.9391,82.0870,0.0025,0.0030
71,ch20_URA7_URA8_001-crop2.tif,21,149,65.7718,81.8523,0.0025,0.0032
72,ch20_URA7_URA8_001-crop2.tif,22,125,64.9040,81.8400,0.0025,0.0033
73,ch20_URA7_URA8_001-crop2.tif,23,109,63.8807,79.1743,0.0024,0.0029
74,ch20_URA7_URA8_001-crop2.tif,24,108,62.6019,79.8148,0.0024,0.0031
75,ch20_URA7_URA8_001-crop2.tif,25,125,58.7120,72.5040,0.0024,0.0029
76,ch20_URA7_URA8_001-crop2.tif,26,141,61.7234,72.9504,0.0023,0.0027
77,ch20_URA7_URA8_001-crop2.tif,27,114,61.2456,68.6667,0.0023,0.0028
78,ch20_URA7_URA8_001-crop2.tif,28,138,63.0072,67.7754,0.0023,0.0027
79,ch20_URA7_URA8_001-crop2.tif,29,110,64.9182,71.6273,0.0023,0.0026
80,ch20_URA7_URA8_001-crop2.tif,30,125,63.8080,67.3840,0.0023,0.0027
81,ch20_URA7_URA8_001-crop2.tif,31,115,60.8087,71.6522,0.0023,0.0027
82,ch20_URA7_URA8_001-crop2.tif,32,84,58.5476,70.0595,0.0023,0.0025
83,ch20_URA7_URA8_001-crop2.tif,33,111,58.6126,72.7928,0.0023,0.0026
84,ch20_URA7_URA8_001-crop2.tif,34,120,53.6667,71.7250,0.0023,0.0028
85,ch20_URA7_URA8_001-crop2.tif,35,92,53.7717,68.6957,0.0023,0.0027
86,ch20_URA7_URA8_001-crop2.tif,36,132,54.8485,68.8712,0.0023,0.0027
87,ch20_URA7_URA8_001-crop2.tif,37,145,55.6897,65.3172,0.0023,0.0026
88,ch20_URA7_URA8_001-crop2.tif,38,99,55.9899,64.2222,0.0023,0.0026
89,ch20_URA7_URA8_001-crop2.tif,39,107,55.6262,63.8505,0.0023,0.0025
90,ch20_URA7_URA8_001-crop2.tif,40,115,55.4000,62.1043,0.0023,0.0026
91,ch20_URA7_URA8_001-crop2.tif,41,126,52.0397,66.8095,0.0023,0.0025
92,ch20_URA7_URA8_001-crop2.tif,42,87,49.8046,66.6897,0.0023,0.0026
93,ch20_URA7_URA8_001-crop2.tif,43,122,49.8443,65.8361,0.0023,0.0026
94,ch20_URA7_URA8_001-crop2.tif,44,97,51.1546,67.2474,0.0023,0.0026
95,ch20_URA7_URA8_001-crop2.tif,45,105,49.9143,63.2667,0.0023,0.0025
96,ch20_URA7_URA8_001-crop2.tif,46,114,53.1228,61.6491,0.0022,0.0025
97,ch20_URA7_URA8_001-crop2.tif,47,160,54.5812,58.8188,0.0023,0.0026
98,ch20_URA7_URA8_001-crop2.tif,48,114,58.2018,60.9474,0.0023,0.0027
99,ch20_URA7_URA8_001-crop2.tif,49,137,54.9489,58.1898,0.0023,0.0025
100,ch20_URA7_URA8_001-crop3.tif,0,289,70.9135,61.1315,0.0033,0.0042
101,ch20_URA7_URA8_001-crop3.tif,1,263,72.2471,61.5779,0.0031,0.0037
102,ch20_URA7_URA8_001-crop3.tif,2,294,61.6156,59.1020,0.0028,0.0032
103,ch20_URA7_URA8_001-crop3.tif,3,246,63.6382,62.3496,0.0027,0.0031
104,ch20_URA7_URA8_001-crop3.tif,4,235,65.0596,60.2298,0.0027,0.0031
105,ch20_URA7_URA8_001-crop3.tif,5,231,63.5584,62.1515,0.0026,0.0031
106,ch20_URA7_URA8_001-crop3.tif,6,237,63.7932,62.5907,0.0026,0.0032
107,ch20_URA7_URA8_001-crop3.tif,7,219,64.6164,61.9635,0.0026,0.0030
108,ch20_URA7_URA8_001-crop3.tif,8,221,65.7104,60.6968,0.0026,0.0031
109,ch20_URA7_URA8_001-crop3.tif,9,225,64.0933,60.2978,0.0026,0.0030
110,ch20_URA7_URA8_001-crop3.tif,10,222,64.4685,61.8468,0.0025,0.0033
111,ch20_URA7_URA8_001-crop3.tif,11,204,64.7402,62.1275,0.0025,0.0032
112,ch20_URA7_URA8_001-crop3.tif,12,218,66.2018,63.8991,0.0025,0.0031
113,ch20_URA7_URA8_001-crop3.tif,13,245,64.3143,61.1429,0.0026,0.0035
114,ch20_URA7_URA8_001-crop3.tif,14,241,61.5643,61.8382,0.0026,0.0032
115,ch20_URA7_URA8_001-crop3.tif,15,257,62.3658,61.9144,0.0026,0.0033
116,ch20_URA7_URA8_001-crop3.tif,16,275,65.2036,62.0545,0.0025,0.0032
